,City,Direct_flights_count
826,Zunyi,15
827,Christmas Island,2
828,Cocos Keeling Island,1
829,Araracuara,2
830,Arauca,2
831,Armenia,2
832,Bahia Solano,1
833,Barrancabermeja,1
834,Barranquilla,10
835,Bogota,152
836,Bucaramanga,5
837,Buenaventura,2
838,Cali,30
839,Carepa,4
840,Cartagena,12
841,Corozal,2
842,Cucuta,4
843,Florencia,2
844,Guapi,2
845,Ibague,3
846,Ipiales,1
847,La Pedrera,1
848,Leticia,6
849,Manizales,1
850,Medellin,11
851,Mitu,3
852,Monteria,3
853,Neiva,2
854,Nuquí,1
855,Pasto,3
856,Pereira,6
857,Popayan,1
858,Providencia,1
859,Puerto Asis,4
860,Puerto Carreno,3
861,Puerto Inírida,3
862,Puerto Leguízamo,1
863,Quibdo,6
864,Rio Hacha,1
865,Rio Negro,26
866,San Andres Island,11
867,San Jose Del Guaviare,2
868,San Vincente De Caguan,2
869,Santa Marta,4
870,Saravena,2
871,Tame,2
872,Tumaco,1
873,Valledupar,2
874,Villa Garzon,1
875,Villavicencio,8
876,Yopal,2
877,Moroni,10
878,Brazzaville,25
879,Oyo,1
880,Pointe-noire,18
881,Beni,2
882,Boende,1
883,Bukavu/kavumu,2
884,Bunia,3
885,Gemena,1
886,Goma,3
887,Isiro,1
888,Kananga,3
889,Kindu,2
890,Kinshasa,27
891,Kisangani,2
892,Kongolo,1
893,Lodja,1
894,Lubumashi,10
895,Mbandaka,2
896,Mbuji-mayi,2
897,Tshikapa,2
898,Aitutaki,3
899,Atiu Island,1
900,Avarua,14
901,Mangaia Island,1
902,Mauke Island,1
903,Mitiaro Island,1
904,Golfito,3
905,La Fortuna/San Carlos,3
906,Liberia,24
907,Nicoya,3
908,Nosara Beach,1
909,Palmar Sur,3
910,Puerto Jimenez,4
911,Puntarenas,3
912,Quepos,4
913,Roxana,1
914,San Jose,77
915,Abidjan,49
916,Brac,1
917,Dubrovnik,60
918,Osijek,4
919,Pula,15
920,Rijeka,7
921,Split,49
922,Zadar,26
923,Zagreb,42
924,Camaguey,3
925,Cayo Largo del Sur,3
926,Cunagua,6
927,Guantanamo,1
928,Havana,45
929,Holguin,11
930,Santa Clara,9
931,Santiago De Cuba,5
932,Varadero,13
933,Larnaca,93
934,Nicosia,14
935,Paphos,42
936,Brno,1
