,Source_airport,Destination_airport
1050,HBA,9
1051,HBE,42
1052,HBX,2
1053,HCR,3
1054,HDF,5
1055,HDG,6
1056,HDM,1
1057,HDN,1
1058,HDS,2
1059,HDY,6
1060,HEA,6
1061,HEH,7
1062,HEK,3
1063,HEL,159
1064,HER,110
1065,HET,87
1066,HFA,2
1067,HFE,77
1068,HFS,2
1069,HFT,7
1070,HGA,7
1071,HGH,252
1072,HGN,1
1073,HGR,2
1074,HGU,10
1075,HHH,4
1076,HHN,47
1077,HIA,12
1078,HIB,1
1079,HID,1
1080,HIJ,17
1081,HIN,3
1082,HIR,25
1083,HJJ,3
1084,HJR,1
1085,HKB,1
1086,HKD,10
1087,HKG,355
1088,HKK,1
1089,HKN,6
1090,HKT,71
1091,HLA,4
1092,HLD,18
1093,HLH,7
1094,HLN,5
1095,HLZ,4
1096,HMA,8
1097,HMB,9
1098,HME,6
1099,HMI,10
1100,HMO,25
1101,HMV,2
1102,HNA,4
1103,HND,157
1104,HNH,3
1105,HNL,118
1106,HNM,1
1107,HNS,4
1108,HOB,1
1109,HOD,5
1110,HOE,1
1111,HOF,3
1112,HOG,11
1113,HOI,2
1114,HOM,2
1115,HON,3
1116,HOR,6
1117,HOT,2
1118,HOU,78
1119,HOV,4
1120,HPB,2
1121,HPH,4
1122,HPN,23
1123,HRB,129
1124,HRE,26
1125,HRG,40
1126,HRI,7
1127,HRK,10
1128,HRL,7
1129,HRM,2
1130,HRO,2
1131,HSG,3
1132,HSL,5
1133,HSN,13
1134,HSV,18
1135,HTA,11
1136,HTI,7
1137,HTN,6
1138,HTS,5
1139,HTY,9
1140,HUH,4
1141,HUI,4
1142,HUN,4
1143,HUS,2
1144,HUU,2
1145,HUX,3
1146,HUY,5
1147,HVB,2
1148,HVD,1
1149,HVG,3
1150,HVN,2
1151,HVR,1
1152,HYA,2
1153,HYD,74
1154,HYG,1
1155,HYL,5
1156,HYN,14
1157,HZH,3
1158,IAA,1
1159,IAD,196
1160,IAG,5
1161,IAH,243
1162,IAM,2
1163,IAN,4
1164,IAO,1
1165,IAR,1
1166,IAS,12
1167,IBA,1
1168,IBE,3
1169,IBR,5
1170,IBZ,99
1171,ICI,1
1172,ICN,370
1173,ICT,20
1174,IDA,4
1175,IDR,16
1176,IEV,22
1177,IFJ,1
1178,IFN,20
1179,IFO,2
1180,IGA,2
1181,IGD,2
1182,IGG,1
1183,IGM,4
1184,IGR,4
1185,IGU,12
1186,IIL,1
1187,IJK,4
1188,IKA,60
1189,IKE,2
1190,IKI,2
1191,IKO,1
1192,IKS,2
1193,IKT,41
1194,ILD,1
1195,ILG,6
1196,ILI,1
1197,ILM,13
1198,ILO,10
1199,ILP,1
1200,ILR,1
1201,ILY,1
1202,IMF,9
1203,IMP,7
1204,IMT,2
1205,INB,2
1206,INC,65
1207,IND,69
1208,INH,3
1209,INL,2
1210,INN,8
1211,INU,3
1212,INV,11
1213,INZ,2
1214,IOA,2
1215,IOM,11
1216,IOQ,1
1217,IOS,9
1218,IOT,2
1219,IPA,3
1220,IPC,2
1221,IPH,2
1222,IPI,1
1223,IPL,2
1224,IPN,3
1225,IPT,2
1226,IQN,6
1227,IQQ,9
1228,IQT,7
1229,IRA,3
1230,IRC,1
1231,IRG,2
1232,IRJ,1
1233,IRK,1
1234,IRP,1
1235,IRZ,1
1236,ISA,13
1237,ISB,58
1238,ISC,3
1239,ISE,1
1240,ISG,14
1241,ISN,2
1242,ISP,17
1243,IST,358
1244,ISU,10
1245,ITB,2
1246,ITH,4
1247,ITM,42
1248,ITO,4
1249,IUE,1
1250,IUI,2
1251,IVC,2
1252,IVL,2
1253,IWJ,1
1254,IWK,1
1255,IXA,8
1256,IXB,16
1257,IXC,9
1258,IXD,2
1259,IXE,15
1260,IXG,1
1261,IXJ,12
1262,IXL,6
1263,IXM,8
1264,IXR,11
1265,IXS,7
1266,IXU,5
1267,IXZ,11
1268,IZA,2
1269,IZO,1
1270,JAC,2
1271,JAI,17
1272,JAL,2
1273,JAN,18
1274,JAU,1
1275,JAV,5
1276,JAX,46
1277,JBQ,3
1278,JBR,1
1279,JCB,3
1280,JCK,2
1281,JDH,6
1282,JDO,5
1283,JDZ,16
1284,JED,194
1285,JEG,3
1286,JER,38
1287,JFK,456
1288,JFR,2
1289,JGA,1
1290,JGD,4
1291,JGN,7
1292,JGS,9
1293,JHB,18
1294,JHG,24
1295,JHM,2
1296,JHS,3
1297,JHW,2
1298,JIB,23
1299,JIC,6
1300,JIJ,3
1301,JIK,3
1302,JIM,2
1303,JIQ,7
1304,JIU,6
1305,JJA,1
1306,JJN,44
1307,JJU,7
1308,JKG,2
1309,JKH,6
1310,JKL,6
1311,JKR,1
1312,JLN,2
1313,JLR,3
1314,JMK,13
1315,JMU,10
1316,JNB,159
1317,JNG,10
1318,JNN,4
1319,JNS,3
1320,JNU,20
